종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","75400","2000","2.72","4.46340699E8"
"000660","SK하이닉스","328500","21500","7.00","2.39148777E8"
"373220","LG에너지솔루션","355500","5500","1.57","8.3187E7"
"207940","삼성바이오로직스","1038000","2000","0.19","7.3878612E7"
"012450","한화에어로스페이스","1002000","-3000","-0.30","5.1666528E7"
"005380","현대차","223500","500","0.22","4.5763361E7"
"105560","KB금융","119300","1700","1.45","4.5508429E7"
"329180","HD현대중공업","510000","-7000","-1.35","4.5274289E7"
"000270","기아","105900","-700","-0.66","4.1702284E7"
"068270","셀트리온","171700","-300","-0.17","3.9652253E7"
"034020","두산에너빌리티","61000","0","0.00","3.907423E7"
"035420","NAVER","236000","3000","1.29","3.7017223E7"
"042660","한화오션","113200","600","0.53","3.4685996E7"
"055550","신한지주","69300","1500","2.21","3.3644799E7"
"032830","삼성생명","159900","-1000","-0.62","3.198E7"
"028260","삼성물산","183000","-3500","-1.88","3.1105708E7"
"009540","HD한국조선해양","416500","-6500","-1.54","2.9477003E7"
"035720","카카오","65500","5600","9.35","2.8969046E7"
"012330","현대모비스","313500","-2500","-0.79","2.8777762E7"
"196170","알테오젠","491500","18500","3.91","2.6278032E7"
"402340","SK스퀘어","197300","15200","8.35","2.6150311E7"
"086790","하나금융지주","88700","1000","1.14","2.5255009E7"
"011200","HMM","24300","400","1.67","2.490846E7"
"015760","한국전력","36900","-650","-1.73","2.3688474E7"
"064350","현대로템","215000","2500","1.18","2.3465593E7"
"005490","POSCO홀딩스","285000","3500","1.24","2.3065891E7"
"138040","메리츠금융지주","126800","0","0.00","2.2218121E7"
"000810","삼성화재","470000","-3000","-0.63","2.1625243E7"
"267260","HD현대일렉트릭","595000","10000","1.71","2.1448045E7"
"010130","고려아연","1042000","128000","14.00","2.086425E7"
"051910","LG화학","290000","0","0.00","2.0471779E7"
"010140","삼성중공업","22000","-350","-1.57","1.936E7"
"316140","우리금융지주","25650","200","0.79","1.9047472E7"
"096770","SK이노베이션","107900","-600","-0.55","1.8240796E7"
"006400","삼성SDI","204000","5700","2.87","1.6439448E7"
"033780","KT&G","133700","1000","0.75","1.6319756E7"
"034730","SK","222500","2000","0.91","1.6131851E7"
"024110","기업은행","19760","30","0.15","1.5757135E7"
"259960","크래프톤","322500","-2000","-0.62","1.5284315E7"
"086280","현대글로비스","188100","1500","0.80","1.41075E7"
"009150","삼성전기","190400","2400","1.28","1.422168E7"
"298040","효성중공업","1445000","59000","4.26","1.3473972E7"
"030200","KT","51300","-900","-1.72","1.2928712E7"
"018260","삼성에스디에스","167100","3600","2.20","1.292983E7"
"006800","미래에셋증권","22100","350","1.61","1.2603993E7"
"066570","LG전자","77000","1100","1.45","1.2542252E7"
"003230","삼양식품","1616000","-14000","-0.86","1.2173352E7"
"352820","하이브","292000","6500","2.28","1.2162412E7"
"003670","포스코퓨처엠","133500","2700","2.06","1.187432E7"
"003550","LG","75800","-1200","-1.56","1.1919638E7"
"323410","카카오뱅크","25300","650","2.64","1.2067858E7"
"017670","SK텔레콤","55100","200","0.36","1.1834932E7"
"247540","에코프로비엠","119000","2100","1.80","1.163836E7"
"267250","HD현대","148500","-1300","-0.87","1.1730473E7"
